Rank,Player,Playing Since,Points as of,Points as of,Points / Day,Last Week,Puzzles Solved,Switches,Puzzles Solved 10 or less solvers,Puzzles Solved 3 or less solvers,Puzzles Created,Puzzles Created But Not Solved,Puzzles Created 10 or less solvers,Puzzles Created 3 or less solvers,Puzzles Created with 0 solvers,Small and Easy left,Special Knowledge left,Spores left,Bugs left,Spugs left,Basic Shapes left,Small Switches left,Switched left,Minibits left,Mirrors left,RSOD left,Tricksters left,Puzzlets left,Chain Letters left,Small Shape left,Fun and Easy left,Boost Me left,Structural Representation left
30,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=28158"";""nascarnut"")",19 Sep 2011,818569,818569,632,0,2884,85,2,0,3,2,0,0,0,28,8,6,84,17,10,27,99,37,109,50,38,51,41,32,37,57,160
31,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=143547"";""VirgieP3"")",24 Mar 2014,815635,815635,2163,0,5338,402,11,0,23,0,0,0,0,29,14,2,50,17,10,28,97,33,107,50,38,51,38,32,34,61,97
32,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=58224"";""Hyphema"")",16 Nov 2012,797723,795123,916,2600,4252,565,308,48,196,26,81,15,1,17,5,0,36,17,10,26,55,13,92,50,35,32,24,28,30,3,145
33,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=82881"";""Silverapricot"")",27 Mar 2013,783835,783835,1060,0,5201,77,2,0,0,0,0,0,0,28,14,6,29,17,10,31,100,21,108,50,37,50,30,32,37,57,147
34,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=34596"";""drake178"")",17 Dec 2011,771815,757815,640,14000,4643,137,385,114,279,190,167,84,5,7,7,0,9,17,10,28,99,34,106,50,38,51,44,30,37,66,159
35,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=61455"";""Darkfire47"")",20 Nov 2012,757713,757713,874,0,3983,312,6,0,0,0,0,0,0,29,13,1,39,14,10,28,89,19,99,50,38,51,45,32,37,57,160
36,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=60391"";""rnjensen45"")",18 Nov 2012,752725,752725,867,0,3488,193,3,0,42,9,3,0,0,28,14,5,49,16,10,27,77,24,105,50,38,51,45,32,37,58,160
37,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=35880"";""katling"")",13 Jan 2012,733679,733679,622,0,4521,214,0,0,12,8,0,0,0,29,12,6,66,17,10,31,100,33,101,50,38,50,39,31,37,66,150
38,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=78801"";""ulfang"")",08 Mar 2013,731835,728435,965,3400,4461,658,17,0,1,0,0,0,0,26,12,5,66,17,10,9,35,28,87,50,38,51,40,30,37,57,149
39,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=61244"";""theravin"")",20 Nov 2012,729193,729193,842,0,4343,304,8,0,10,1,0,0,0,28,11,1,32,17,10,25,88,22,97,50,38,51,42,31,37,59,160
40,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=55082"";""RedSpah"")",07 Nov 2012,724949,724949,824,0,3326,218,470,181,371,351,262,161,5,22,2,0,80,12,10,29,68,18,105,50,38,35,30,26,37,32,155
41,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=42404"";""mspano"")",05 Jul 2012,718845,718845,715,0,4102,227,1,0,11,0,0,0,0,29,15,6,60,17,10,29,97,32,106,50,38,51,42,31,37,65,155
42,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=65056"";""Gust Kanake"")",08 Dec 2012,712457,712457,840,0,4271,114,2,0,0,0,0,0,0,30,15,8,75,17,10,30,95,25,108,50,38,51,39,32,37,65,160
43,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=44631"";""macclark52"")",11 Jul 2012,708079,705979,709,2100,3933,242,0,0,11,2,0,0,0,31,15,6,67,17,10,23,91,30,104,50,38,51,45,31,37,64,157
44,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=44066"";""janelle"")",08 Jul 2012,703741,703741,703,0,3167,236,0,0,29,0,0,0,0,30,14,13,83,17,10,28,87,32,106,50,38,51,41,32,37,68,160
